condition,execution_path,attack,path,round30_accuracy_mean,round30_accuracy_std,round30_macro_f1_mean,round30_macro_f1_std,final_evaluation_reward_mean,final_evaluation_reward_std,mean_round_time_sec_mean,mean_round_time_sec_std,round30_accuracy_mean_pm_std,round30_macro_f1_mean_pm_std,final_evaluation_reward_mean_pm_std,mean_round_time_sec_mean_pm_std,paired_abs_round30_accuracy_difference_mean,paired_abs_round30_accuracy_difference_std,paired_abs_round30_accuracy_difference_mean_pm_std,paired_abs_round30_macro_f1_difference_mean,paired_abs_round30_macro_f1_difference_std,paired_abs_round30_macro_f1_difference_mean_pm_std,paired_abs_final_evaluation_reward_difference_mean,paired_abs_final_evaluation_reward_difference_std,paired_abs_final_evaluation_reward_difference_mean_pm_std,paired_abs_mean_round_time_sec_difference_mean,paired_abs_mean_round_time_sec_difference_std,paired_abs_mean_round_time_sec_difference_mean_pm_std,paired_plaintext_path
Label flipping,ep_twa,label_flipping,twa,0.9712222222222223,0.003097191081059135,0.9707909294036204,0.003157570644257903,2.8561111111111117,0.015485955405296029,2.8858913644445745,0.0488495673021895,0.971222 ± 0.003097,0.970791 ± 0.003158,2.856111 ± 0.015486,2.885891 ± 0.048850,,,,,,,,,,,,,
Label flipping,ep_ppa,label_flipping,ppa,0.5925555555555556,0.13591350735479346,0.5458029663251827,0.1787817408340498,0.9627777777777777,0.6795675367739671,3.434318268888779,0.0788462276816206,0.592556 ± 0.135914,0.545803 ± 0.178782,0.962778 ± 0.679568,3.434318 ± 0.078846,0.02888888888888889,0.02219442706159798,0.028889 ± 0.022194,0.029821415530150275,0.018461308707791453,0.029821 ± 0.018461,0.14444444444444438,0.11097213530798992,0.144444 ± 0.110972,0.9861336111110278,0.7474744017730786,0.986134 ± 0.747474,ep_0
Label flipping,ep_sdp-ppa,label_flipping,sdp_ppa,0.46399999999999997,0.10574392548878525,0.3956753201436311,0.1130620498584878,0.3199999999999999,0.5287196274439264,3.431973705555841,0.04525975388622908,0.464000 ± 0.105744,0.395675 ± 0.113062,0.320000 ± 0.528720,3.431974 ± 0.045260,0.00799999999999997,0.004041451884327352,0.008000 ± 0.004041,0.0069277288543621585,0.0022521055988740423,0.006928 ± 0.002252,0.03999999999999996,0.020207259421636665,0.040000 ± 0.020207,0.5560433444447984,0.01645386820773603,0.556043 ± 0.016454,ep_sdp
Label flipping,ep_twa-ppa,label_flipping,twa_ppa,0.9713333333333334,0.0034641016151377574,0.9709100283037763,0.0035287672147707723,2.856666666666667,0.01732050807568895,3.4229790455556617,0.03470327733128507,0.971333 ± 0.003464,0.970910 ± 0.003529,2.856667 ± 0.017321,3.422979 ± 0.034703,0.00033333333333333365,0.0003333333333332966,0.000333 ± 0.000333,0.0003387585353941125,0.00033913869772902295,0.000339 ± 0.000339,0.0016666666666666312,0.0016666666666664831,0.001667 ± 0.001667,0.5370876811110875,0.02155540676941849,0.537088 ± 0.021555,ep_twa
Data poisoning,ep_0,data_poisoning,fedavg,0.5953333333333334,0.06710439627923045,0.5773968131043956,0.09587686732404824,0.9766666666666665,0.3355219813961524,2.844635517777553,0.04027573862056642,0.595333 ± 0.067104,0.577397 ± 0.095877,0.976667 ± 0.335522,2.844636 ± 0.040276,,,,,,,,,,,,,
Data poisoning,ep_sdp,data_poisoning,static_dp,0.5497777777777778,0.09562445836205842,0.474489316901935,0.1316981769194325,0.7488888888888887,0.4781222918102919,2.883510562222303,0.062289616617604605,0.549778 ± 0.095624,0.474489 ± 0.131698,0.748889 ± 0.478122,2.883511 ± 0.062290,,,,,,,,,,,,,
Data poisoning,ep_twa,data_poisoning,twa,0.9701111111111111,0.0008388704928077724,0.9695794081023839,0.000882962494870811,2.8505555555555553,0.004194352464039079,2.8558945333334123,0.046497125357252506,0.970111 ± 0.000839,0.969579 ± 0.000883,2.850556 ± 0.004194,2.855895 ± 0.046497,,,,,,,,,,,,,
Data poisoning,ep_ppa,data_poisoning,ppa,0.637888888888889,0.11301392900058005,0.6177938505598224,0.13601924344507707,1.1894444444444445,0.5650696450029004,3.399219219999941,0.0315181966103349,0.637889 ± 0.113014,0.617794 ± 0.136019,1.189444 ± 0.565070,3.399219 ± 0.031518,0.0425555555555556,0.05116458555304455,0.042556 ± 0.051165,0.040397037455426776,0.04849484662870154,0.040397 ± 0.048495,0.21277777777777804,0.25582292776522264,0.212778 ± 0.255823,0.5545837022223875,0.019850850978619772,0.554584 ± 0.019851,ep_0
Data poisoning,ep_sdp-ppa,data_poisoning,sdp_ppa,0.5433333333333333,0.0991536406010614,0.4643762792335582,0.14114730717263155,0.7166666666666668,0.4957682030053071,3.5280513566669875,0.24527035340251807,0.543333 ± 0.099154,0.464376 ± 0.141147,0.716667 ± 0.495768,3.528051 ± 0.245270,0.006444444444444401,0.005295001136641707,0.006444 ± 0.005295,0.010113037668376864,0.009669025838412513,0.010113 ± 0.009669,0.03222222222222193,0.026475005683208864,0.032222 ± 0.026475,0.6445407944446844,0.18397624295954026,0.644541 ± 0.183976,ep_sdp
Data poisoning,ep_twa-ppa,data_poisoning,twa_ppa,0.9697777777777778,0.0013471506281090481,0.9692321766059117,0.0014055392930967946,2.848888888888889,0.006735753140545391,3.4204498844443356,0.038656640130752255,0.969778 ± 0.001347,0.969232 ± 0.001406,2.848889 ± 0.006736,3.420450 ± 0.038657,0.00033333333333333365,0.0005773502691896262,0.000333 ± 0.000577,0.00034723149647216306,0.0005953208586722556,0.000347 ± 0.000595,0.0016666666666666312,0.0028867513459480674,0.001667 ± 0.002887,0.564555351110923,0.08409198925160176,0.564555 ± 0.084092,ep_twa
Reward poisoning,ep_0,reward_poisoning,fedavg,0.5472222222222222,0.058833412023869304,0.505490872466328,0.035452888252972596,0.736111111111111,0.2941670601193465,2.820758038888865,0.06713742237019901,0.547222 ± 0.058833,0.505491 ± 0.035453,0.736111 ± 0.294167,2.820758 ± 0.067137,,,,,,,,,,,,,
Reward poisoning,ep_sdp,reward_poisoning,static_dp,0.49766666666666665,0.1163977853932129,0.42082619317808795,0.13818419480066002,0.488333333333333,0.5819889269660644,2.8655154755553265,0.023002494002703065,0.497667 ± 0.116398,0.420826 ± 0.138184,0.488333 ± 0.581989,2.865515 ± 0.023002,,,,,,,,,,,,,
Reward poisoning,ep_twa,reward_poisoning,twa,0.968111111111111,0.002714842605082394,0.9674752378714274,0.002781204652394149,2.8405555555555555,0.013574213025411574,2.8592804155555616,0.022859277537746723,0.968111 ± 0.002715,0.967475 ± 0.002781,2.840556 ± 0.013574,2.859280 ± 0.022859,,,,,,,,,,,,,
Reward poisoning,ep_ppa,reward_poisoning,ppa,0.5495555555555556,0.06292176211890564,0.5077943235412127,0.04080079636579598,0.7477777777777775,0.3146088105945281,3.3531623488888926,0.06423892076592631,0.549556 ± 0.062922,0.507794 ± 0.040801,0.747778 ± 0.314609,3.353162 ± 0.064239,0.003444444444444472,0.003976784481816267,0.003444 ± 0.003977,0.0034985226438306962,0.004320569390163469,0.003499 ± 0.004321,0.0172222222222224,0.019883922409081323,0.017222 ± 0.019884,0.532404310000028,0.006819067430331761,0.532404 ± 0.006819,ep_0
Reward poisoning,ep_sdp-ppa,reward_poisoning,sdp_ppa,0.49511111111111106,0.1141881163953847,0.418115937053169,0.1361434917235228,0.4755555555555555,0.5709405819769235,3.414930534444567,0.06339530437796975,0.495111 ± 0.114188,0.418116 ± 0.136143,0.475556 ± 0.570941,3.414931 ± 0.063395,0.0030000000000000027,0.004333333333333338,0.003000 ± 0.004333,0.0028760668403368848,0.0038946390205864584,0.002876 ± 0.003895,0.014999999999999902,0.0216666666666668,0.015000 ± 0.021667,0.5494150588892404,0.07854129524015803,0.549415 ± 0.078541,ep_sdp
Reward poisoning,ep_twa-ppa,reward_poisoning,twa_ppa,0.9682222222222222,0.0025239592648000817,0.9675926960591763,0.002579553357565262,2.841111111111111,0.012619796324000235,3.4290821055557092,0.11627102822023684,0.968222 ± 0.002524,0.967593 ± 0.002580,2.841111 ± 0.012620,3.429082 ± 0.116271,0.00011111111111113588,0.00019245008972991817,0.000111 ± 0.000192,0.00011745818774884971,0.00020289873108028018,0.000117 ± 0.000203,0.0005555555555556424,0.0009622504486495267,0.000556 ± 0.000962,0.5698016900001474,0.13832235208708302,0.569802 ± 0.138322,ep_twa
