seed,execution_path,path,condition,attack,final_accuracy,final_macro_f1,final_evaluation_reward,mean_round_time_sec,total_execution_time_sec,mean_malicious_weight,final_malicious_weight,suppressed_rounds,final_10_suppressed_rounds,mean_gated_adversarial_trust,mean_B_adv,mean_R_adv
42,ep_twa,twa,adversarial,reward_poisoning,0.9693333333333334,0.968779813948552,2.8466666666666667,2.854216753333276,85.62650259999828,0.24999999701976777,0.25,0,0,0.9388832184318063,0.9693180956364184,6.479246602150262e-10
42,ep_ppa,ppa,adversarial,reward_poisoning,0.493,0.4874018819084968,0.46499999999999986,3.38336862999998,101.5010588999994,,,0,0,,,
42,ep_sdp-ppa,sdp_ppa,adversarial,reward_poisoning,0.5786666666666667,0.5184703618260651,0.8933333333333335,3.3901658500000242,101.70497550000073,,,0,0,,,
42,ep_twa-ppa,twa_ppa,adversarial,reward_poisoning,0.9693333333333334,0.968779813948552,2.8466666666666667,3.415890710000046,102.47672130000137,0.24999999900658926,0.25,0,0,0.9384713953520075,0.9695946078916985,6.477104206799608e-10
123,ep_0,fedavg,clean,none,0.6093333333333333,0.5463595775926415,1.0466666666666664,2.8988385833334784,86.96515750000435,,,0,0,,,
123,ep_sdp,static_dp,clean,none,0.3643333333333333,0.2628959610047698,-0.17833333333333368,2.9123316833334685,87.36995050000405,,,0,0,,,
123,ep_twa,twa,clean,none,0.9703333333333334,0.969712442077904,2.8516666666666666,2.9474248433337076,88.42274530001123,0.23405414968729019,0.244080513715744,0,0,0.7905437739267747,0.9762399927715009,0.25416085240065056
123,ep_ppa,ppa,clean,none,0.622,0.5595510923812519,1.1099999999999999,3.4255739633334086,102.76721890000226,,,0,0,,,
123,ep_sdp-ppa,sdp_ppa,clean,none,0.3666666666666666,0.2646517953630022,-0.16666666666666696,3.440891853333475,103.22675560000425,,,0,0,,,
123,ep_twa-ppa,twa_ppa,clean,none,0.97,0.9693628676544072,2.8499999999999996,3.4378691866666484,103.13607559999946,0.2340750257174174,0.2447178214788437,0,0,0.7902274341050706,0.9756586461128492,0.25446435354444485
123,ep_0,fedavg,adversarial,sign_flipping,0.6026666666666667,0.5597693278112408,1.0133333333333336,2.856067596666556,85.68202789999668,,,0,0,,,
123,ep_sdp,static_dp,adversarial,sign_flipping,0.5316666666666666,0.4895772821580046,0.6583333333333332,2.8672866066666756,86.01859820000027,,,0,0,,,
123,ep_twa,twa,adversarial,sign_flipping,0.97,0.9694335225247916,2.8499999999999996,2.8633189099997858,85.89956729999358,0.11668667693932848,0.1444838941097259,0,0,0.6197779425277549,0.9149028676082805,0.26641033105724926
123,ep_ppa,ppa,adversarial,sign_flipping,0.6103333333333333,0.5717996257929753,1.0516666666666663,3.3845766400001596,101.53729920000478,,,0,0,,,
123,ep_sdp-ppa,sdp_ppa,adversarial,sign_flipping,0.528,0.4853073613474227,0.6400000000000001,3.3941600566665024,101.82480169999508,,,0,0,,,
123,ep_twa-ppa,twa_ppa,adversarial,sign_flipping,0.97,0.969430826364967,2.8499999999999996,3.390111539999998,101.70334619999994,0.11727615793546038,0.147120401263237,0,0,0.6198398332588323,0.9178979853497629,0.26001162626853863
123,ep_0,fedavg,adversarial,random_noise_byzantine,0.5276666666666666,0.4776276982706886,0.6383333333333332,2.9786330200001125,89.35899060000338,,,0,0,,,
123,ep_sdp,static_dp,adversarial,random_noise_byzantine,0.53,0.4887983932451996,0.6500000000000004,2.9912689099999623,89.73806729999887,,,0,0,,,
123,ep_twa,twa,adversarial,random_noise_byzantine,0.9716666666666668,0.9712058593373888,2.8583333333333343,2.994047666666726,89.82143000000178,0.12404319892326988,0.1836944669485092,0,0,0.6441642551318277,0.9997186659800362,0.21709480363244008
123,ep_ppa,ppa,adversarial,random_noise_byzantine,0.5166666666666667,0.4660551849224996,0.5833333333333335,3.5160112299998825,105.48033689999647,,,0,0,,,
123,ep_sdp-ppa,sdp_ppa,adversarial,random_noise_byzantine,0.5333333333333333,0.4912403480940982,0.6666666666666665,3.527377909999996,105.82133729999987,,,0,0,,,
123,ep_twa-ppa,twa_ppa,adversarial,random_noise_byzantine,0.972,0.9715491664694098,2.8599999999999994,3.529867833333507,105.89603500000521,0.12361851967871186,0.1826777756214141,0,0,0.6439609864603978,0.9997253943777487,0.21720017603324124
123,ep_0,fedavg,adversarial,model_replacement,0.25,0.1,-0.75,2.8985785266662183,86.95735579998654,,,0,0,,,
123,ep_sdp,static_dp,adversarial,model_replacement,0.609,0.5555839100038595,1.045,2.8677829033332576,86.03348709999773,,,0,0,,,
123,ep_twa,twa,adversarial,model_replacement,0.981,0.9807993485780668,2.9050000000000002,2.8816551333333336,86.44965400000001,0.046248896000906786,0.0874963104724884,0,0,0.398915439178739,0.2378734963413192,0.35693994656116845
123,ep_ppa,ppa,adversarial,model_replacement,0.25,0.1,-0.75,3.415304166666586,102.45912499999758,,,0,0,,,
123,ep_sdp-ppa,sdp_ppa,adversarial,model_replacement,0.525,0.4765917167252487,0.625,3.4037542399993983,102.11262719998194,,,0,0,,,
123,ep_twa-ppa,twa_ppa,adversarial,model_replacement,0.975,0.9746158582867036,2.875,3.407494453333008,102.22483359999023,0.03709367709234352,0.0723600313067436,0,0,0.39516291719674757,0.23389957958508775,0.33161038367818085
123,ep_0,fedavg,adversarial,label_flipping,0.536,0.4286740657504421,0.6800000000000002,2.8242039600002804,84.72611880000841,,,0,0,,,
123,ep_sdp,static_dp,adversarial,label_flipping,0.3663333333333333,0.2818349782176502,-0.16833333333333345,2.8452979466663235,85.35893839998971,,,0,0,,,
123,ep_twa,twa,adversarial,label_flipping,0.9733333333333334,0.9728645774025376,2.866666666666667,2.8424429033336005,85.27328710000802,0.057528795922795896,0.0336412638425827,0,0,0.4882986304098773,0.30502874518855455,0.4349725764109766
123,ep_ppa,ppa,adversarial,label_flipping,0.5593333333333333,0.46272675909943,0.7966666666666669,3.395936346666834,101.87809040000502,,,0,0,,,
123,ep_sdp-ppa,sdp_ppa,adversarial,label_flipping,0.3606666666666667,0.2749175121237995,-0.19666666666666655,3.387458666667347,101.62376000002041,,,0,0,,,
123,ep_twa-ppa,twa_ppa,adversarial,label_flipping,0.9733333333333334,0.972855308202046,2.866666666666667,3.40441640666686,102.1324922000058,0.057774583001931466,0.0341212823987007,0,0,0.4884354414783912,0.30611096237757285,0.422079710107244
123,ep_0,fedavg,adversarial,data_poisoning,0.6543333333333333,0.648589355506837,1.2716666666666665,2.818805223333038,84.56415669999114,,,0,0,,,
123,ep_sdp,static_dp,adversarial,data_poisoning,0.4406666666666666,0.3275939669359601,0.20333333333333314,2.8564043033336928,85.69212910001079,,,0,0,,,
123,ep_twa,twa,adversarial,data_poisoning,0.97,0.969452221442722,2.8499999999999996,2.8145047499997116,84.43514249999134,0.227654267847538,0.2327869236469268,0,0,0.7767924436581577,0.9792330753379596,0.25349185135731
123,ep_ppa,ppa,adversarial,data_poisoning,0.7556666666666667,0.7443812517174024,1.7783333333333333,3.3668804000003245,101.00641200000973,,,0,0,,,
123,ep_sdp-ppa,sdp_ppa,adversarial,data_poisoning,0.431,0.3075932739616306,0.1549999999999998,3.382150850000471,101.46452550001413,,,0,0,,,
123,ep_twa-ppa,twa_ppa,adversarial,data_poisoning,0.97,0.969445163688626,2.8499999999999996,3.4620170866664313,103.86051259999294,0.2273983508348465,0.2286733090877533,0,0,0.7766122690861452,0.9791268772527151,0.25349185135731
123,ep_0,fedavg,adversarial,reward_poisoning,0.6093333333333333,0.5463595775926415,1.0466666666666664,2.8719814066668428,86.15944220000529,,,0,0,,,
123,ep_sdp,static_dp,adversarial,reward_poisoning,0.3643333333333333,0.2628959610047698,-0.17833333333333368,2.854910933332697,85.64732799998092,,,0,0,,,
123,ep_twa,twa,adversarial,reward_poisoning,0.97,0.9693643392683402,2.8499999999999996,2.8393775399999868,85.1813261999996,0.24999999900658926,0.25,0,0,0.9377788377101848,0.9758873314168589,6.269682659096254e-10
123,ep_ppa,ppa,adversarial,reward_poisoning,0.6173333333333333,0.5547711945322937,1.0866666666666664,3.3967305333332964,101.90191599999889,,,0,0,,,
123,ep_sdp-ppa,sdp_ppa,adversarial,reward_poisoning,0.365,0.2631446770778966,-0.17500000000000004,3.4869702100001936,104.6091063000058,,,0,0,,,
123,ep_twa-ppa,twa_ppa,adversarial,reward_poisoning,0.97,0.9693649686516164,2.8499999999999996,3.5513862400002836,106.54158720000851,0.249999996026357,0.25,0,0,0.9376972409990857,0.9759573783106616,6.267561083749558e-10
2025,ep_0,fedavg,clean,none,0.54,0.4830025015362664,0.7000000000000002,2.863700960000036,85.91102880000108,,,0,0,,,
2025,ep_sdp,static_dp,clean,none,0.5496666666666666,0.4800833662729449,0.7483333333333331,2.99366143999996,89.8098431999988,,,0,0,,,
2025,ep_twa,twa,clean,none,0.9633333333333334,0.9625131846187912,2.8166666666666664,2.906446773333179,87.19340319999537,0.23270956128835676,0.2439385056495666,0,0,0.7720286789122315,0.956575093121507,0.2798054798105048
2025,ep_ppa,ppa,clean,none,0.5243333333333333,0.4711406061937591,0.6216666666666666,3.4229643433331756,102.68893029999526,,,0,0,,,
2025,ep_sdp-ppa,sdp_ppa,clean,none,0.5573333333333333,0.4878768884871836,0.7866666666666666,3.4068517800000335,102.20555340000101,,,0,0,,,
2025,ep_twa-ppa,twa_ppa,clean,none,0.964,0.9632172668119692,2.8200000000000003,3.645172886666478,109.35518659999434,0.23292285948991776,0.2464459836483001,0,0,0.7723118154785804,0.9565344125958275,0.2803714171276391
2025,ep_0,fedavg,adversarial,sign_flipping,0.616,0.5515928161218787,1.08,2.8659767400001632,85.9793022000049,,,0,0,,,
2025,ep_sdp,static_dp,adversarial,sign_flipping,0.637,0.5738020560808208,1.185,2.873766353333364,86.21299060000092,,,0,0,,,
2025,ep_twa,twa,adversarial,sign_flipping,0.9693333333333334,0.9689781100327628,2.8466666666666667,2.847422643333145,85.42267929999434,0.12848329159120717,0.185180589556694,0,0,0.6019733927478614,0.9179247194980086,0.29825493337515485
2025,ep_ppa,ppa,adversarial,sign_flipping,0.6186666666666667,0.5538959714778495,1.0933333333333337,3.442329126666785,103.26987380000355,,,0,0,,,
2025,ep_sdp-ppa,sdp_ppa,adversarial,sign_flipping,0.6326666666666667,0.5648104405806977,1.1633333333333336,3.3637285133331414,100.91185539999424,,,0,0,,,
2025,ep_twa-ppa,twa_ppa,adversarial,sign_flipping,0.969,0.9686375599591446,2.8449999999999998,3.3673080466663428,101.01924139999028,0.12841629572212693,0.1838976740837097,0,0,0.6017042532549375,0.9198455756316867,0.3015113048548052
2025,ep_0,fedavg,adversarial,random_noise_byzantine,0.4793333333333333,0.3227434080528716,0.3966666666666665,2.9666184866667513,88.99855460000254,,,0,0,,,
