seed,attack,condition,path,final_accuracy,final_macro_f1,mean_malicious_weight,final_malicious_weight,suppressed_rounds_out_of_30,suppressed_rounds_21_30,mean_malicious_ema_trust,mean_B_adv,mean_R_adv,malicious_to_benign_update_norm_ratio,mean_round_time_sec,ckks_mean_absolute_error,ckks_max_relative_l2_error
123,model_replacement,Model replacement,twa_ppa,0.975,0.9746158582867036,0.03709367709234352,0.0723600313067436,0,0,0.39516291719674757,0.23389957958508775,0.33161038367818085,11.680063709061963,3.407494453333008,2.048496048701054e-06,0.001886127050966
123,label_flipping,Label flipping,twa,0.9733333333333334,0.9728645774025376,0.057528795922795896,0.0336412638425827,0,0,0.4882986304098773,0.30502874518855455,0.4349725764109766,1.8787990529927816,2.8424429033336005,,
123,label_flipping,Label flipping,twa_ppa,0.9733333333333334,0.972855308202046,0.057774583001931466,0.0341212823987007,0,0,0.4884354414783912,0.30611096237757285,0.422079710107244,1.8869675170635365,3.40441640666686,2.0652030419417618e-06,0.0017998296534642
123,data_poisoning,Data poisoning,twa,0.97,0.969452221442722,0.227654267847538,0.2327869236469268,0,0,0.7767924436581577,0.9792330753379596,0.25349185135731,0.8839590040536909,2.8145047499997116,,
123,data_poisoning,Data poisoning,twa_ppa,0.97,0.969445163688626,0.2273983508348465,0.2286733090877533,0,0,0.7766122690861452,0.9791268772527151,0.25349185135731,0.8852244993234896,3.4620170866664313,2.0481085963789763e-06,0.002004399895668
123,reward_poisoning,Reward poisoning,twa,0.97,0.9693643392683402,0.24999999900658926,0.25,0,0,0.9377788377101848,0.9758873314168589,6.269682659096254e-10,0.9833738390802248,2.8393775399999868,,
123,reward_poisoning,Reward poisoning,twa_ppa,0.97,0.9693649686516164,0.249999996026357,0.25,0,0,0.9376972409990857,0.9759573783106616,6.267561083749558e-10,0.9861156318542647,3.5513862400002836,2.0264560362193152e-06,0.0019993381574749
2025,sign_flipping,Sign flipping,twa,0.9693333333333334,0.9689781100327628,0.12848329159120717,0.185180589556694,0,0,0.6019733927478614,0.9179247194980086,0.29825493337515485,1.7797275982577152,2.847422643333145,,
2025,sign_flipping,Sign flipping,twa_ppa,0.969,0.9686375599591446,0.12841629572212693,0.1838976740837097,0,0,0.6017042532549375,0.9198455756316867,0.3015113048548052,1.774228649588754,3.3673080466663428,2.0585623436393993e-06,0.0025172345340251
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),twa,0.9703333333333334,0.9698342225010368,0.1357741953184207,0.2070836722850799,0,0,0.6404482504029568,0.9998134874749528,0.2600734745342675,0.500143142561752,2.9839892966671564,,
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),twa_ppa,0.9703333333333334,0.9698342225010368,0.1360162225862344,0.2075079381465912,0,0,0.6406355286873034,0.999811927553413,0.2600734745342675,0.5001431512485098,3.49284828333366,2.063836374569898e-06,0.0024144321214407
2025,model_replacement,Model replacement,twa,0.9723333333333334,0.9721597222211666,0.04149665307874477,0.0966717973351478,0,0,0.36319599407190833,0.20871740683009188,0.34415065440709736,12.573104203891722,2.853908970000339,,
2025,model_replacement,Model replacement,twa_ppa,0.9723333333333334,0.9721662722244024,0.04261370492167767,0.0964322835206985,0,0,0.36631196595178217,0.2096778604301253,0.3468943836970313,12.560648000866921,3.3330629899997195,2.0726405637105926e-06,0.0020536652300506
2025,label_flipping,Label flipping,twa,0.9726666666666668,0.9723512654600536,0.08755133251349129,0.083662249147892,0,0,0.501067834722774,0.32150666687328244,0.529618868741011,1.9543255616426867,2.9387677000000014,,
2025,label_flipping,Label flipping,twa_ppa,0.9733333333333334,0.9730380516133784,0.08812770098447795,0.0851306915283203,0,0,0.5018922002659422,0.3223579252158959,0.5401038965816013,1.9516608832705031,3.4630156700000954,2.053151729342062e-06,0.0020050902385264
2025,data_poisoning,Data poisoning,twa,0.9693333333333334,0.9687669361192662,0.22379119843244552,0.2215857207775116,0,0,0.7598645881284986,0.9701810012303084,0.27460485025004555,0.9009585608326661,2.9062060933338216,,
2025,data_poisoning,Data poisoning,twa_ppa,0.9683333333333334,0.9677322993839458,0.22387173622846604,0.2213581800460815,0,0,0.7599387553788746,0.9702554388676953,0.27459830062934604,0.8981559081943641,3.3855786433333077,2.0575281799513807e-06,0.0022502266801893
2025,reward_poisoning,Reward poisoning,twa,0.965,0.96428156039739,0.2500114798545837,0.25,0,0,0.9368021633299629,0.959221503596133,5.950771367974383e-10,0.9614866805690244,2.8842469533334225,,
2025,reward_poisoning,Reward poisoning,twa_ppa,0.9653333333333334,0.9646333055773604,0.2500088115533193,0.2499999701976776,0,0,0.9359751378970965,0.9593561980117966,5.956875715332557e-10,0.9625440273784486,3.3199693666667978,2.0632417772503688e-06,0.0020333710126578
