seed,attack,condition,path,execution_path,round30_accuracy,round30_macro_f1,final_evaluation_reward,mean_round_time_sec
123,sign_flipping,Sign flipping,sdp_ppa,ep_sdp-ppa,0.528,0.4853073613474227,0.6400000000000001,3.3941600566665024
123,sign_flipping,Sign flipping,twa_ppa,ep_twa-ppa,0.97,0.969430826364967,2.8499999999999996,3.390111539999998
123,random_noise_byzantine,RNB-Primary (alpha=0.5),fedavg,ep_0,0.5276666666666666,0.4776276982706886,0.6383333333333332,2.9786330200001125
123,random_noise_byzantine,RNB-Primary (alpha=0.5),static_dp,ep_sdp,0.53,0.4887983932451996,0.6500000000000004,2.9912689099999623
123,random_noise_byzantine,RNB-Primary (alpha=0.5),twa,ep_twa,0.9716666666666668,0.9712058593373888,2.8583333333333343,2.994047666666726
123,random_noise_byzantine,RNB-Primary (alpha=0.5),ppa,ep_ppa,0.5166666666666667,0.4660551849224996,0.5833333333333335,3.5160112299998825
123,random_noise_byzantine,RNB-Primary (alpha=0.5),sdp_ppa,ep_sdp-ppa,0.5333333333333333,0.4912403480940982,0.6666666666666665,3.527377909999996
123,random_noise_byzantine,RNB-Primary (alpha=0.5),twa_ppa,ep_twa-ppa,0.972,0.9715491664694098,2.8599999999999994,3.529867833333507
123,model_replacement,Model replacement,fedavg,ep_0,0.25,0.1,-0.75,2.8985785266662183
123,model_replacement,Model replacement,static_dp,ep_sdp,0.609,0.5555839100038595,1.045,2.8677829033332576
123,model_replacement,Model replacement,twa,ep_twa,0.981,0.9807993485780668,2.9050000000000002,2.8816551333333336
123,model_replacement,Model replacement,ppa,ep_ppa,0.25,0.1,-0.75,3.415304166666586
123,model_replacement,Model replacement,sdp_ppa,ep_sdp-ppa,0.525,0.4765917167252487,0.625,3.4037542399993983
123,model_replacement,Model replacement,twa_ppa,ep_twa-ppa,0.975,0.9746158582867036,2.875,3.407494453333008
123,label_flipping,Label flipping,fedavg,ep_0,0.536,0.4286740657504421,0.6800000000000002,2.8242039600002804
123,label_flipping,Label flipping,static_dp,ep_sdp,0.3663333333333333,0.2818349782176502,-0.16833333333333345,2.8452979466663235
123,label_flipping,Label flipping,twa,ep_twa,0.9733333333333334,0.9728645774025376,2.866666666666667,2.8424429033336005
123,label_flipping,Label flipping,ppa,ep_ppa,0.5593333333333333,0.46272675909943,0.7966666666666669,3.395936346666834
123,label_flipping,Label flipping,sdp_ppa,ep_sdp-ppa,0.3606666666666667,0.2749175121237995,-0.19666666666666655,3.387458666667347
123,label_flipping,Label flipping,twa_ppa,ep_twa-ppa,0.9733333333333334,0.972855308202046,2.866666666666667,3.40441640666686
123,data_poisoning,Data poisoning,fedavg,ep_0,0.6543333333333333,0.648589355506837,1.2716666666666665,2.818805223333038
123,data_poisoning,Data poisoning,static_dp,ep_sdp,0.4406666666666666,0.3275939669359601,0.20333333333333314,2.8564043033336928
123,data_poisoning,Data poisoning,twa,ep_twa,0.97,0.969452221442722,2.8499999999999996,2.8145047499997116
123,data_poisoning,Data poisoning,ppa,ep_ppa,0.7556666666666667,0.7443812517174024,1.7783333333333333,3.3668804000003245
123,data_poisoning,Data poisoning,sdp_ppa,ep_sdp-ppa,0.431,0.3075932739616306,0.1549999999999998,3.382150850000471
123,data_poisoning,Data poisoning,twa_ppa,ep_twa-ppa,0.97,0.969445163688626,2.8499999999999996,3.4620170866664313
123,reward_poisoning,Reward poisoning,fedavg,ep_0,0.6093333333333333,0.5463595775926415,1.0466666666666664,2.8719814066668428
123,reward_poisoning,Reward poisoning,static_dp,ep_sdp,0.3643333333333333,0.2628959610047698,-0.17833333333333368,2.854910933332697
123,reward_poisoning,Reward poisoning,twa,ep_twa,0.97,0.9693643392683402,2.8499999999999996,2.8393775399999868
123,reward_poisoning,Reward poisoning,ppa,ep_ppa,0.6173333333333333,0.5547711945322937,1.0866666666666664,3.3967305333332964
123,reward_poisoning,Reward poisoning,sdp_ppa,ep_sdp-ppa,0.365,0.2631446770778966,-0.17500000000000004,3.4869702100001936
123,reward_poisoning,Reward poisoning,twa_ppa,ep_twa-ppa,0.97,0.9693649686516164,2.8499999999999996,3.5513862400002836
2025,none,∅,fedavg,ep_0,0.54,0.4830025015362664,0.7000000000000002,2.863700960000036
2025,none,∅,static_dp,ep_sdp,0.5496666666666666,0.4800833662729449,0.7483333333333331,2.99366143999996
2025,none,∅,twa,ep_twa,0.9633333333333334,0.9625131846187912,2.8166666666666664,2.906446773333179
2025,none,∅,ppa,ep_ppa,0.5243333333333333,0.4711406061937591,0.6216666666666666,3.4229643433331756
2025,none,∅,sdp_ppa,ep_sdp-ppa,0.5573333333333333,0.4878768884871836,0.7866666666666666,3.4068517800000335
2025,none,∅,twa_ppa,ep_twa-ppa,0.964,0.9632172668119692,2.8200000000000003,3.645172886666478
2025,sign_flipping,Sign flipping,fedavg,ep_0,0.616,0.5515928161218787,1.08,2.8659767400001632
2025,sign_flipping,Sign flipping,static_dp,ep_sdp,0.637,0.5738020560808208,1.185,2.873766353333364
2025,sign_flipping,Sign flipping,twa,ep_twa,0.9693333333333334,0.9689781100327628,2.8466666666666667,2.847422643333145
2025,sign_flipping,Sign flipping,ppa,ep_ppa,0.6186666666666667,0.5538959714778495,1.0933333333333337,3.442329126666785
2025,sign_flipping,Sign flipping,sdp_ppa,ep_sdp-ppa,0.6326666666666667,0.5648104405806977,1.1633333333333336,3.3637285133331414
2025,sign_flipping,Sign flipping,twa_ppa,ep_twa-ppa,0.969,0.9686375599591446,2.8449999999999998,3.3673080466663428
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),fedavg,ep_0,0.4793333333333333,0.3227434080528716,0.3966666666666665,2.9666184866667513
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),static_dp,ep_sdp,0.323,0.2527887255794132,-0.385,2.9915531666664417
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),twa,ep_twa,0.9703333333333334,0.9698342225010368,2.8516666666666666,2.9839892966671564
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),ppa,ep_ppa,0.4806666666666667,0.3252535524590741,0.4033333333333333,3.508989980000115
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),sdp_ppa,ep_sdp-ppa,0.321,0.2474475381667365,-0.395,3.5098229633328932
2025,random_noise_byzantine,RNB-Primary (alpha=0.5),twa_ppa,ep_twa-ppa,0.9703333333333334,0.9698342225010368,2.8516666666666666,3.49284828333366
2025,model_replacement,Model replacement,fedavg,ep_0,0.25,0.1,-0.75,2.889123466666933
2025,model_replacement,Model replacement,static_dp,ep_sdp,0.625,0.5470297804711886,1.125,2.853375759999593
2025,model_replacement,Model replacement,twa,ep_twa,0.9723333333333334,0.9721597222211666,2.8616666666666672,2.853908970000339
2025,model_replacement,Model replacement,ppa,ep_ppa,0.25,0.1,-0.75,3.3654981466672327
2025,model_replacement,Model replacement,sdp_ppa,ep_sdp-ppa,0.6363333333333333,0.5549569941549282,1.1816666666666666,3.4340238699998737
2025,model_replacement,Model replacement,twa_ppa,ep_twa-ppa,0.9723333333333334,0.9721662722244024,2.8616666666666672,3.3330629899997195
2025,label_flipping,Label flipping,fedavg,ep_0,0.5296666666666666,0.4694744937577539,0.648333333333333,5.374024793333107
2025,label_flipping,Label flipping,static_dp,ep_sdp,0.5593333333333333,0.4943407764242366,0.7966666666666669,4.0296945933333825
2025,label_flipping,Label flipping,twa,ep_twa,0.9726666666666668,0.9723512654600536,2.863333333333334,2.9387677000000014
2025,label_flipping,Label flipping,ppa,ep_ppa,0.4763333333333333,0.4236747365020368,0.3816666666666664,3.52500642333301
2025,label_flipping,Label flipping,sdp_ppa,ep_sdp-ppa,0.572,0.4990215485976789,0.8599999999999999,3.4779431166666956
2025,label_flipping,Label flipping,twa_ppa,ep_twa-ppa,0.9733333333333334,0.9730380516133784,2.866666666666667,3.4630156700000954
2025,data_poisoning,Data poisoning,fedavg,ep_0,0.5223333333333333,0.4683764987185301,0.6116666666666664,2.89104293333318
2025,data_poisoning,Data poisoning,static_dp,ep_sdp,0.5896666666666667,0.5138675492319752,0.9483333333333333,2.9547606099999637
