run_id,seed,execution_path,condition,attack,rounds,num_clients,malicious_client_id,partition_hash,initial_checkpoint_hash,config_hash,status,log_path
s42_model_replacement_twa_ppa,42,ep_twa-ppa,adversarial,model_replacement,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\model_replacement\run.log
s42_label_flipping_fedavg,42,ep_0,adversarial,label_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\label_flipping\run.log
s42_label_flipping_static_dp,42,ep_sdp,adversarial,label_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\label_flipping\run.log
s42_label_flipping_twa,42,ep_twa,adversarial,label_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\label_flipping\run.log
s42_label_flipping_ppa,42,ep_ppa,adversarial,label_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\label_flipping\run.log
s42_label_flipping_sdp_ppa,42,ep_sdp-ppa,adversarial,label_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\label_flipping\run.log
s42_label_flipping_twa_ppa,42,ep_twa-ppa,adversarial,label_flipping,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\label_flipping\run.log
s42_data_poisoning_fedavg,42,ep_0,adversarial,data_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\data_poisoning\run.log
s42_data_poisoning_static_dp,42,ep_sdp,adversarial,data_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\data_poisoning\run.log
s42_data_poisoning_twa,42,ep_twa,adversarial,data_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\data_poisoning\run.log
s42_data_poisoning_ppa,42,ep_ppa,adversarial,data_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\data_poisoning\run.log
s42_data_poisoning_sdp_ppa,42,ep_sdp-ppa,adversarial,data_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\data_poisoning\run.log
s42_data_poisoning_twa_ppa,42,ep_twa-ppa,adversarial,data_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\data_poisoning\run.log
s42_reward_poisoning_fedavg,42,ep_0,adversarial,reward_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\reward_poisoning\run.log
s42_reward_poisoning_static_dp,42,ep_sdp,adversarial,reward_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\reward_poisoning\run.log
s42_reward_poisoning_twa,42,ep_twa,adversarial,reward_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\reward_poisoning\run.log
s42_reward_poisoning_ppa,42,ep_ppa,adversarial,reward_poisoning,30,5,4,33723ea59876dbcc6067be0b5a1b3736a3f16494f4814d52c2c06cbdd8cd8693,def35daddc129ee97c638fb308d86b10b9a135c38e410220a99d11c3f69ae341,22dc37846e3e0377e62421871dd7e22f1a7cf66b3f9f9ad5c3cf0380c7a18450,completed,results\aligned_benchmark_official_clean_20260717\runs\seed_42\reward_poisoning\run.log
