seed,execution_path,path,condition,attack,round,accuracy,macro_f1,evaluation_reward
2025,ep_0,fedavg,adversarial,label_flipping,17,0.9533333333333334,0.9526655064115092,2.7666666666666666
2025,ep_0,fedavg,adversarial,label_flipping,18,0.9333333333333332,0.9335963402875324,2.666666666666666
2025,ep_0,fedavg,adversarial,label_flipping,19,0.9336666666666666,0.9339819055101618,2.668333333333333
2025,ep_0,fedavg,adversarial,label_flipping,20,0.9076666666666666,0.9090970015607808,2.538333333333333
2025,ep_0,fedavg,adversarial,label_flipping,21,0.6833333333333333,0.6632951557641782,1.416666666666667
2025,ep_0,fedavg,adversarial,label_flipping,22,0.6546666666666666,0.602172144702507,1.273333333333333
2025,ep_0,fedavg,adversarial,label_flipping,23,0.573,0.5035051944526134,0.8649999999999998
2025,ep_0,fedavg,adversarial,label_flipping,24,0.58,0.5101027802566787,0.8999999999999999
2025,ep_0,fedavg,adversarial,label_flipping,25,0.5246666666666666,0.4702488161614777,0.6233333333333331
2025,ep_0,fedavg,adversarial,label_flipping,26,0.5293333333333333,0.4761479882501765,0.6466666666666665
2025,ep_0,fedavg,adversarial,label_flipping,27,0.5033333333333333,0.4532178459371334,0.5166666666666666
2025,ep_0,fedavg,adversarial,label_flipping,28,0.44,0.3870322481680146,0.20000000000000018
2025,ep_0,fedavg,adversarial,label_flipping,29,0.4216666666666667,0.3726011755446062,0.10833333333333339
2025,ep_0,fedavg,adversarial,label_flipping,30,0.5296666666666666,0.4694744937577539,0.648333333333333
2025,ep_sdp,static_dp,adversarial,label_flipping,1,0.746,0.6922456813129652,1.73
2025,ep_sdp,static_dp,adversarial,label_flipping,2,0.707,0.701389337699714,1.5349999999999997
2025,ep_sdp,static_dp,adversarial,label_flipping,3,0.8793333333333333,0.8807980592825052,2.3966666666666665
2025,ep_sdp,static_dp,adversarial,label_flipping,4,0.8466666666666667,0.8496784162690596,2.2333333333333334
2025,ep_sdp,static_dp,adversarial,label_flipping,5,0.9163333333333332,0.9152181144822328,2.581666666666666
2025,ep_sdp,static_dp,adversarial,label_flipping,6,0.794,0.7948555994991289,1.9700000000000002
2025,ep_sdp,static_dp,adversarial,label_flipping,7,0.8363333333333334,0.8320247103378817,2.1816666666666666
2025,ep_sdp,static_dp,adversarial,label_flipping,8,0.933,0.9311860057580796,2.665
2025,ep_sdp,static_dp,adversarial,label_flipping,9,0.9526666666666668,0.9520815231681824,2.7633333333333336
2025,ep_sdp,static_dp,adversarial,label_flipping,10,0.9483333333333334,0.9485047682675752,2.741666666666667
2025,ep_sdp,static_dp,adversarial,label_flipping,11,0.8336666666666667,0.8258817811599211,2.168333333333333
2025,ep_sdp,static_dp,adversarial,label_flipping,12,0.7646666666666667,0.7433533693608076,1.8233333333333337
2025,ep_sdp,static_dp,adversarial,label_flipping,13,0.7606666666666667,0.7568420148296814,1.8033333333333337
2025,ep_sdp,static_dp,adversarial,label_flipping,14,0.86,0.8583080529742988,2.3
2025,ep_sdp,static_dp,adversarial,label_flipping,15,0.9013333333333332,0.900036381368968,2.506666666666666
2025,ep_sdp,static_dp,adversarial,label_flipping,16,0.8373333333333334,0.8318602884143023,2.1866666666666665
2025,ep_sdp,static_dp,adversarial,label_flipping,17,0.7036666666666667,0.6737745144890528,1.5183333333333335
2025,ep_sdp,static_dp,adversarial,label_flipping,18,0.902,0.896627649155691,2.51
2025,ep_sdp,static_dp,adversarial,label_flipping,19,0.8366666666666667,0.8360608632944277,2.1833333333333336
2025,ep_sdp,static_dp,adversarial,label_flipping,20,0.762,0.7188057752454848,1.81
2025,ep_sdp,static_dp,adversarial,label_flipping,21,0.8706666666666667,0.865906164166365,2.3533333333333335
2025,ep_sdp,static_dp,adversarial,label_flipping,22,0.4683333333333333,0.453416688867845,0.3416666666666668
2025,ep_sdp,static_dp,adversarial,label_flipping,23,0.6873333333333334,0.6410417304625518,1.4366666666666665
2025,ep_sdp,static_dp,adversarial,label_flipping,24,0.6436666666666667,0.6348286446403288,1.2183333333333337
2025,ep_sdp,static_dp,adversarial,label_flipping,25,0.6076666666666667,0.5438927017359518,1.0383333333333336
2025,ep_sdp,static_dp,adversarial,label_flipping,26,0.4966666666666666,0.4776800055182796,0.48333333333333295
2025,ep_sdp,static_dp,adversarial,label_flipping,27,0.667,0.581120610580373,1.335
2025,ep_sdp,static_dp,adversarial,label_flipping,28,0.5983333333333334,0.5187871205262697,0.9916666666666671
